timestamp,frame_idx,predicted_state,state_label,alert_level,status_text,fatigue_score,ear,mar,perclos,pitch,yaw,roll
2026-08-08T21:22:15.904121,0,0,Alert,0,DRIVER STATUS: ALERT,0.1,0.35,0.15,0.05,0.0,0.0,0.0
2026-08-08T21:22:15.906512,10,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.906787,11,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.907005,12,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.907189,13,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.907375,14,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.907592,15,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.907888,16,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.908077,17,1,Slightly Drowsy,1,WARNING: DROWSINESS TRENDING,0.55,0.22,0.55,0.35,0.0,0.0,0.0
2026-08-08T21:22:15.908309,18,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.908522,19,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.908824,20,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.909042,21,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.909262,22,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.909448,23,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.909636,24,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.909926,25,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.910109,26,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.910299,27,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.910491,28,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.910752,29,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.910940,30,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
2026-08-08T21:22:15.911136,31,2,Drowsy,2,CRITICAL: SLEEPING DETECTED!,0.85,0.12,0.2,0.75,0.0,0.0,0.0
